datetime,open,high,low,close,volume
2025-05-05 15:59:00,198.74,199.0,198.71,198.765,73836
2025-05-05 15:58:00,198.83,198.9,198.72,198.72,32040
2025-05-05 15:57:00,198.75,198.87,198.66,198.84,19798
2025-05-05 15:56:00,198.77,198.82,198.66,198.74,16762
2025-05-05 15:55:00,198.69,198.91,198.69,198.78,19904
2025-05-05 15:54:00,198.74,198.76,198.52,198.7,26884
2025-05-05 15:53:00,198.79,198.8,198.66,198.73,12562
2025-05-05 15:52:00,198.64,198.895,198.64,198.79,24706
2025-05-05 15:51:00,198.74,198.82,198.58,198.61,19524
2025-05-05 15:50:00,198.84,198.91,198.69,198.74,17834
2025-05-05 15:49:00,198.85,198.88,198.765,198.82,8571
2025-05-05 15:48:00,199.0,199.0,198.79,198.92,9394
2025-05-05 15:47:00,198.81,199.03,198.705,199.01,10981
2025-05-05 15:46:00,199.11,199.11,198.7,198.84,33749
2025-05-05 15:45:00,199.26,199.365,199.095,199.11,5681
2025-05-05 15:44:00,199.28,199.295,199.12,199.24,6871
2025-05-05 15:43:00,199.4,199.4,199.2,199.3,6975
2025-05-05 15:42:00,199.37,199.43,199.37,199.42,5128
2025-05-05 15:41:00,199.45,199.45,199.35,199.37,4032
2025-05-05 15:40:00,199.26,199.49,199.24,199.44,6860
2025-05-05 15:39:00,199.34,199.36,199.26,199.265,7809
2025-05-05 15:38:00,199.55,199.55,199.34,199.35,8998
2025-05-05 15:37:00,199.45,199.6,199.41,199.57,7220
2025-05-05 15:36:00,199.48,199.5,199.365,199.45,14603
2025-05-05 15:35:00,199.19,199.49,199.16,199.49,15139
2025-05-05 15:34:00,199.15,199.21,199.08,199.195,10716
2025-05-05 15:33:00,199.36,199.36,199.15,199.18,15262
2025-05-05 15:32:00,199.4,199.42,199.35,199.355,5119
2025-05-05 15:31:00,199.39,199.48,199.35,199.4,5552
2025-05-05 15:30:00,199.4,199.52,199.345,199.395,9266
2025-05-05 15:29:00,199.51,199.55,199.4,199.4,6078
2025-05-05 15:28:00,199.63,199.69,199.48,199.49,9323
2025-05-05 15:27:00,199.53,199.65,199.47,199.625,7487
2025-05-05 15:26:00,199.62,199.67,199.47,199.48,10424
2025-05-05 15:25:00,199.845,199.845,199.6,199.6,13405
2025-05-05 15:24:00,199.83,199.91,199.79,199.82,4015
2025-05-05 15:23:00,199.87,199.885,199.78,199.83,5888
2025-05-05 15:22:00,199.95,199.96,199.74,199.865,10196
2025-05-05 15:21:00,199.79,200.07,199.79,199.96,14450
2025-05-05 15:20:00,199.865,199.865,199.77,199.78,6296
2025-05-05 15:19:00,200.01,200.02,199.825,199.865,14344
2025-05-05 15:18:00,200.03,200.06,199.97,200.01,11507
2025-05-05 15:17:00,200.14,200.16,200.02,200.02,3272
2025-05-05 15:16:00,200.44,200.45,200.14,200.14,4002
2025-05-05 15:15:00,200.285,200.48,200.245,200.44,4785
2025-05-05 15:14:00,200.385,200.43,200.24,200.28,3457
2025-05-05 15:13:00,200.45,200.46,200.29,200.38,3168
2025-05-05 15:12:00,200.19,200.42,200.17,200.415,4855
